issue_id,severity,category,title,description,affected_screen_ids,affected_routes,affected_roles,affected_workspaces,evidence_screenshots,expected_behavior,actual_behavior,recommendation,priority,implementation_notes
OVERSIZED-LAYOUT-022,P2,oversized_layout,Too many card/panel blocks,The screen has 211 card-like elements.,BNAADMIN__BNA__CONTENT__LIBRARY__LOAD__DESKTOP__207,/operations?workspace=bna&view=content&section=library,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__CONTENT__LIBRARY__LOAD__DESKTOP__207.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 211 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
OVERSIZED-LAYOUT-023,P2,oversized_layout,Too many visible actions,The screen exposes 110 visible actions.,BNAADMIN__BNA__CONTENT__RESEARCH__LOAD__DESKTOP__209,/operations?workspace=bna&view=content&section=research,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__CONTENT__RESEARCH__LOAD__DESKTOP__209.png,"Page is compact, scannable, and action hierarchy is clear.",The screen exposes 110 visible actions.,Keep one primary action visible and group secondary actions into action menus.,P2,public/operations.html
OVERSIZED-LAYOUT-024,P2,oversized_layout,Too many card/panel blocks,The screen has 485 card-like elements.,BNAADMIN__BNA__CONTENT__RESEARCH__LOAD__DESKTOP__209,/operations?workspace=bna&view=content&section=research,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__CONTENT__RESEARCH__LOAD__DESKTOP__209.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 485 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
OVERSIZED-LAYOUT-025,P2,oversized_layout,Too many visible actions,The screen exposes 75 visible actions.,BNAADMIN__BNA__CONTENT__REPURPOSE__LOAD__DESKTOP__211,/operations?workspace=bna&view=content&section=repurpose,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__CONTENT__REPURPOSE__LOAD__DESKTOP__211.png,"Page is compact, scannable, and action hierarchy is clear.",The screen exposes 75 visible actions.,Keep one primary action visible and group secondary actions into action menus.,P2,public/operations.html
OVERSIZED-LAYOUT-026,P2,oversized_layout,Too many card/panel blocks,The screen has 211 card-like elements.,BNAADMIN__BNA__CONTENT__REPURPOSE__LOAD__DESKTOP__211,/operations?workspace=bna&view=content&section=repurpose,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__CONTENT__REPURPOSE__LOAD__DESKTOP__211.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 211 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
OVERSIZED-LAYOUT-027,P2,oversized_layout,Too many card/panel blocks,The screen has 83 card-like elements.,BNAADMIN__BNA__SERVICE_PROVIDERS__OVERVIEW__LOAD__DESKTOP__223,/operations?workspace=bna&view=service_providers&section=overview,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__SERVICE_PROVIDERS__OVERVIEW__LOAD__DESKTOP__223.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 83 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
OVERSIZED-LAYOUT-028,P2,oversized_layout,Too many card/panel blocks,The screen has 82 card-like elements.,BNAADMIN__BNA__SERVICE_PROVIDERS__DIRECTORY__LOAD__DESKTOP__224,/operations?workspace=bna&view=service_providers&section=directory,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__SERVICE_PROVIDERS__DIRECTORY__LOAD__DESKTOP__224.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 82 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
OVERSIZED-LAYOUT-029,P2,oversized_layout,Too many visible actions,The screen exposes 77 visible actions.,BNAADMIN__BNA__SERVICE_PROVIDERS__WORKSPACES__LOAD__DESKTOP__225,/operations?workspace=bna&view=service_providers&section=workspaces,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__SERVICE_PROVIDERS__WORKSPACES__LOAD__DESKTOP__225.png,"Page is compact, scannable, and action hierarchy is clear.",The screen exposes 77 visible actions.,Keep one primary action visible and group secondary actions into action menus.,P2,public/operations.html
OVERSIZED-LAYOUT-030,P2,oversized_layout,Too many card/panel blocks,The screen has 62 card-like elements.,BNAADMIN__BNA__SERVICE_PROVIDERS__WORKSPACES__LOAD__DESKTOP__225,/operations?workspace=bna&view=service_providers&section=workspaces,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__SERVICE_PROVIDERS__WORKSPACES__LOAD__DESKTOP__225.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 62 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
SETTINGS-PLACEHOLDER-031,P1,settings_placeholder,Too much placeholder language,The screen overuses not-configured/disabled/placeholder wording.,BNAADMIN__BNA__SERVICE_PROVIDERS__WORKSPACES__LOAD__DESKTOP__225,/operations?workspace=bna&view=service_providers&section=workspaces,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__SERVICE_PROVIDERS__WORKSPACES__LOAD__DESKTOP__225.png,Settings pages show real rows/fields with only missing controls disabled.,The screen overuses not-configured/disabled/placeholder wording.,Render real settings rows and disable only the missing controls with one-line helper text.,P1,public/operations.html
OVERSIZED-LAYOUT-032,P2,oversized_layout,Too many card/panel blocks,The screen has 203 card-like elements.,BNAADMIN__BNA__COMMUNICATIONS__OVERVIEW__LOAD__DESKTOP__237,/operations?workspace=bna&view=communications&section=overview,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__COMMUNICATIONS__OVERVIEW__LOAD__DESKTOP__237.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 203 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
OVERSIZED-LAYOUT-033,P2,oversized_layout,Too many card/panel blocks,The screen has 194 card-like elements.,BNAADMIN__BNA__COMMUNICATIONS__PARENTS__LOAD__DESKTOP__238,/operations?workspace=bna&view=communications&section=parents,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__COMMUNICATIONS__PARENTS__LOAD__DESKTOP__238.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 194 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
OVERSIZED-LAYOUT-034,P2,oversized_layout,Too many card/panel blocks,The screen has 90 card-like elements.,BNAADMIN__BNA__COMMUNICATIONS__EMAIL__LOAD__DESKTOP__243,/operations?workspace=bna&view=communications&section=email,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__COMMUNICATIONS__EMAIL__LOAD__DESKTOP__243.png,"Page is compact, scannable, and action hierarchy is clear.",The screen has 90 card-like elements.,Use compact tables/lists and open details in drawers/pages.,P2,public/operations.html
OVERSIZED-LAYOUT-035,P2,oversized_layout,Too many visible actions,The screen exposes 60 visible actions.,BNAADMIN__BNA__SETTINGS__INTEGRATIONS__LOAD__DESKTOP__298,/operations?workspace=bna&view=settings&section=integrations,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__SETTINGS__INTEGRATIONS__LOAD__DESKTOP__298.png,"Page is compact, scannable, and action hierarchy is clear.",The screen exposes 60 visible actions.,Keep one primary action visible and group secondary actions into action menus.,P2,public/operations.html
SETTINGS-PLACEHOLDER-036,P1,settings_placeholder,Too much placeholder language,The screen overuses not-configured/disabled/placeholder wording.,BNAADMIN__BNA__SETTINGS__INTEGRATIONS__LOAD__DESKTOP__298,/operations?workspace=bna&view=settings&section=integrations,BNA Admin,BNA School Workspace,screenshots/desktop/BNAADMIN__BNA__SETTINGS__INTEGRATIONS__LOAD__DESKTOP__298.png,Settings pages show real rows/fields with only missing controls disabled.,The screen overuses not-configured/disabled/placeholder wording.,Render real settings rows and disable only the missing controls with one-line helper text.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-037,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__OVERVIEW__LOAD__DESKTOP__323,/operations?workspace=rabbi_sheller_provider&view=students&section=overview,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/desktop/PROVIDERADMIN__SHELLER__STUDENTS__OVERVIEW__LOAD__DESKTOP__323.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-038,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__LIST__LOAD__DESKTOP__324,/operations?workspace=rabbi_sheller_provider&view=students&section=list,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/desktop/PROVIDERADMIN__SHELLER__STUDENTS__LIST__LOAD__DESKTOP__324.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-039,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__GROUP_GOAL__LOAD__DESKTOP__325,/operations?workspace=rabbi_sheller_provider&view=students&section=group_goal,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/desktop/PROVIDERADMIN__SHELLER__STUDENTS__GROUP_GOAL__LOAD__DESKTOP__325.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-040,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__GOAL_BOARD__LOAD__DESKTOP__326,/operations?workspace=rabbi_sheller_provider&view=students&section=goal_board,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/desktop/PROVIDERADMIN__SHELLER__STUDENTS__GOAL_BOARD__LOAD__DESKTOP__326.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-041,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__ASSIGNMENTS__LOAD__DESKTOP__327,/operations?workspace=rabbi_sheller_provider&view=students&section=assignments,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/desktop/PROVIDERADMIN__SHELLER__STUDENTS__ASSIGNMENTS__LOAD__DESKTOP__327.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-042,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__QUESTIONS__LOAD__DESKTOP__328,/operations?workspace=rabbi_sheller_provider&view=students&section=questions,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/desktop/PROVIDERADMIN__SHELLER__STUDENTS__QUESTIONS__LOAD__DESKTOP__328.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-043,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__DOCUMENTS__LOAD__DESKTOP__329,/operations?workspace=rabbi_sheller_provider&view=students&section=documents,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/desktop/PROVIDERADMIN__SHELLER__STUDENTS__DOCUMENTS__LOAD__DESKTOP__329.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-044,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__PORTAL_LINKS__LOAD__DESKTOP__330,/operations?workspace=rabbi_sheller_provider&view=students&section=portal_links,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/desktop/PROVIDERADMIN__SHELLER__STUDENTS__PORTAL_LINKS__LOAD__DESKTOP__330.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-045,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__TABLET_ACCESS__LOAD__DESKTOP__331,/operations?workspace=rabbi_sheller_provider&view=students&section=tablet_access,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/desktop/PROVIDERADMIN__SHELLER__STUDENTS__TABLET_ACCESS__LOAD__DESKTOP__331.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-046,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__PROFILE__LOAD__DESKTOP__332,/operations?workspace=rabbi_sheller_provider&view=students&section=profile,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/desktop/PROVIDERADMIN__SHELLER__STUDENTS__PROFILE__LOAD__DESKTOP__332.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-047,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__PARENT_FAMILY__LOAD__DESKTOP__333,/operations?workspace=rabbi_sheller_provider&view=students&section=parent_family,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/desktop/PROVIDERADMIN__SHELLER__STUDENTS__PARENT_FAMILY__LOAD__DESKTOP__333.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
PROVIDER-SCHOOL-CONFUSION-048,P1,provider_school_confusion,Provider/admin surface may be mixed with BNA school concepts,Provider workspace states should not look like BNA student accountability unless explicitly enabled.,PROVIDERADMIN__SHELLER__STUDENTS__ANALYSIS__LOAD__DESKTOP__334,/operations?workspace=rabbi_sheller_provider&view=students&section=analysis,Provider Admin,Rabbi Sheller Provider Workspace,screenshots/desktop/PROVIDERADMIN__SHELLER__STUDENTS__ANALYSIS__LOAD__DESKTOP__334.png,"UI should be clear, wired, safe, and mapped to the correct route/workspace.",Provider workspace states should not look like BNA student accountability unless explicitly enabled.,Separate provider participants/members from BNA students and keep provider program pages simpler.,P1,public/operations.html
