screen_id,screenshot_file,timestamp,viewport,role,workspace,section,page_title,route,url,previous_screen_id,clicked_label,expected_result,actual_result,result_type,back_path_available,primary_action_label,workspace_visible,role_visible,issues,notes
PROVIDERADMIN__SHELLER__PORTAL__PROVIDER_PORTAL_LOGIN__LOAD__DESKTOP__014,screenshots/desktop/PROVIDERADMIN__SHELLER__PORTAL__PROVIDER_PORTAL_LOGIN__LOAD__DESKTOP__014.png,2026-06-11T06:21:11.110Z,desktop,Provider Admin,Rabbi Sheller Provider Workspace,Portal,Provider Portal Login,/provider,https://bneineviimacademy.org/provider,,,Provider Portal Login loads clearly.,No major automated issue detected; manual designer review still required.,page,true,Sign In,true,true,,No major automated issue detected; manual designer review still required.
PROVIDERADMIN__SHELLER__PROVIDER_ONBOARDING__ONBOARDING__LOAD__DESKTOP__015,screenshots/desktop/PROVIDERADMIN__SHELLER__PROVIDER_ONBOARDING__ONBOARDING__LOAD__DESKTOP__015.png,2026-06-11T06:21:11.110Z,desktop,Provider Admin,Rabbi Sheller Provider Workspace,Provider Onboarding, Onboarding,/providers/join,https://bneineviimacademy.org/providers/join,,,Provider Join / Onboarding loads clearly.,No major automated issue detected; manual designer review still required.,page,false,Submit For Review,true,true,,No major automated issue detected; manual designer review still required.
PARENT__BNA__PORTAL__HEBREW_STATE__SWITCH_HEBREW__DESKTOP__016,screenshots/desktop/PARENT__BNA__PORTAL__HEBREW_STATE__SWITCH_HEBREW__DESKTOP__016.png,2026-06-11T06:21:11.110Z,desktop,Parent,BNA School Workspace,Portal,Hebrew State,/parent,https://bneineviimacademy.org/parent,,Hebrew,Portal changes language/RTL state cleanly.,Parent/student assistant placement must be explicitly reviewed.,page,true,,true,true,BOT-AUDIT-REQUIRED,Parent/student assistant placement must be explicitly reviewed.
PARENT__BNA__PORTAL__PASSWORD_RESET__OPEN_PASSWORD_RESET__DESKTOP__017,screenshots/desktop/PARENT__BNA__PORTAL__PASSWORD_RESET__OPEN_PASSWORD_RESET__DESKTOP__017.png,2026-06-11T06:21:11.110Z,desktop,Parent,BNA School Workspace,Portal,Password Reset,/parent,https://bneineviimacademy.org/parent,,Create/reset password,Password reset request panel opens without sending email until submitted.,Parent/student assistant placement must be explicitly reviewed.,page,true,Send password email,true,true,BOT-AUDIT-REQUIRED,Parent/student assistant placement must be explicitly reviewed.
STUDENT__BNA__PORTAL__HEBREW_STATE__SWITCH_HEBREW__DESKTOP__018,screenshots/desktop/STUDENT__BNA__PORTAL__HEBREW_STATE__SWITCH_HEBREW__DESKTOP__018.png,2026-06-11T06:21:11.110Z,desktop,Student,BNA School Workspace,Portal,Hebrew State,/student,https://bneineviimacademy.org/student,,Hebrew,Portal changes language/RTL state cleanly.,Parent/student assistant placement must be explicitly reviewed.,page,true,,true,true,BOT-AUDIT-REQUIRED,Parent/student assistant placement must be explicitly reviewed.
PROVIDERADMIN__SHELLER__PROVIDER_ONBOARDING__FILLED_DRAFT__FILL_FORM_DRAFT__DESKTOP__019,screenshots/desktop/PROVIDERADMIN__SHELLER__PROVIDER_ONBOARDING__FILLED_DRAFT__FILL_FORM_DRAFT__DESKTOP__019.png,2026-06-11T06:21:11.110Z,desktop,Provider Admin,Rabbi Sheller Provider Workspace,Provider Onboarding,Filled Draft,/providers/join,https://bneineviimacademy.org/providers/join,,Fill demo provider form,Provider onboarding form can be filled without submitting production data.,No major automated issue detected; manual designer review still required.,page,true,Submit For Review,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__DASHBOARD__OVERVIEW__LOAD__DESKTOP__020,screenshots/desktop/SUPERADMIN__PLATFORM__DASHBOARD__OVERVIEW__LOAD__DESKTOP__020.png,2026-06-11T06:21:11.111Z,desktop,Super Admin,Platform,Dashboard,Overview,/operations?workspace=platform&view=dashboard&section=overview,https://bneineviimacademy.org/operations?workspace=platform&view=dashboard&section=overview,,,Dashboard / Overview loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__DASHBOARD__ACTIVITY__LOAD__DESKTOP__021,screenshots/desktop/SUPERADMIN__PLATFORM__DASHBOARD__ACTIVITY__LOAD__DESKTOP__021.png,2026-06-11T06:21:11.111Z,desktop,Super Admin,Platform,Dashboard,Activity,/operations?workspace=platform&view=dashboard&section=activity,https://bneineviimacademy.org/operations?workspace=platform&view=dashboard&section=activity,,,Dashboard / Activity loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__DASHBOARD__ALERTS__LOAD__DESKTOP__022,screenshots/desktop/SUPERADMIN__PLATFORM__DASHBOARD__ALERTS__LOAD__DESKTOP__022.png,2026-06-11T06:21:11.111Z,desktop,Super Admin,Platform,Dashboard,Alerts,/operations?workspace=platform&view=dashboard&section=alerts,https://bneineviimacademy.org/operations?workspace=platform&view=dashboard&section=alerts,,,Dashboard / Alerts loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__DASHBOARD__TODAY__LOAD__DESKTOP__023,screenshots/desktop/SUPERADMIN__PLATFORM__DASHBOARD__TODAY__LOAD__DESKTOP__023.png,2026-06-11T06:21:11.111Z,desktop,Super Admin,Platform,Dashboard,Today,/operations?workspace=platform&view=dashboard&section=today,https://bneineviimacademy.org/operations?workspace=platform&view=dashboard&section=today,,,Dashboard / Today loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__DASHBOARD__UPDATES__LOAD__DESKTOP__024,screenshots/desktop/SUPERADMIN__PLATFORM__DASHBOARD__UPDATES__LOAD__DESKTOP__024.png,2026-06-11T06:21:11.111Z,desktop,Super Admin,Platform,Dashboard,Updates,/operations?workspace=platform&view=dashboard&section=updates,https://bneineviimacademy.org/operations?workspace=platform&view=dashboard&section=updates,,,Dashboard / Updates loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__PIPELINES__OVERVIEW__LOAD__DESKTOP__025,screenshots/desktop/SUPERADMIN__PLATFORM__PIPELINES__OVERVIEW__LOAD__DESKTOP__025.png,2026-06-11T06:21:11.111Z,desktop,Super Admin,Platform,Pipelines,Overview,/operations?workspace=platform&view=pipelines&section=overview,https://bneineviimacademy.org/operations?workspace=platform&view=pipelines&section=overview,,,Pipelines / Overview loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Pipeline Card,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__PIPELINES__BNA_ENROLLMENT__LOAD__DESKTOP__026,screenshots/desktop/SUPERADMIN__PLATFORM__PIPELINES__BNA_ENROLLMENT__LOAD__DESKTOP__026.png,2026-06-11T06:21:11.111Z,desktop,Super Admin,Platform,Pipelines,Bna Enrollment,/operations?workspace=platform&view=pipelines&section=bna_enrollment,https://bneineviimacademy.org/operations?workspace=platform&view=pipelines&section=bna_enrollment,,,Pipelines / Bna Enrollment loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Pipeline Card,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__PIPELINES__PROVIDER_CLASS__LOAD__DESKTOP__027,screenshots/desktop/SUPERADMIN__PLATFORM__PIPELINES__PROVIDER_CLASS__LOAD__DESKTOP__027.png,2026-06-11T06:21:11.111Z,desktop,Super Admin,Platform,Pipelines,Provider Class,/operations?workspace=platform&view=pipelines&section=provider_class,https://bneineviimacademy.org/operations?workspace=platform&view=pipelines&section=provider_class,,,Pipelines / Provider Class loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Pipeline Card,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__PIPELINES__PROVIDER_ONBOARDING__LOAD__DESKTOP__028,screenshots/desktop/SUPERADMIN__PLATFORM__PIPELINES__PROVIDER_ONBOARDING__LOAD__DESKTOP__028.png,2026-06-11T06:21:11.111Z,desktop,Super Admin,Platform,Pipelines,Provider Onboarding,/operations?workspace=platform&view=pipelines&section=provider_onboarding,https://bneineviimacademy.org/operations?workspace=platform&view=pipelines&section=provider_onboarding,,,Pipelines / Provider Onboarding loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Pipeline Card,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__PIPELINES__PARTICIPANTS__LOAD__DESKTOP__029,screenshots/desktop/SUPERADMIN__PLATFORM__PIPELINES__PARTICIPANTS__LOAD__DESKTOP__029.png,2026-06-11T06:21:11.111Z,desktop,Super Admin,Platform,Pipelines,Participants,/operations?workspace=platform&view=pipelines&section=participants,https://bneineviimacademy.org/operations?workspace=platform&view=pipelines&section=participants,,,Pipelines / Participants loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Pipeline Card,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__PIPELINES__STALE_TASKS__LOAD__DESKTOP__030,screenshots/desktop/SUPERADMIN__PLATFORM__PIPELINES__STALE_TASKS__LOAD__DESKTOP__030.png,2026-06-11T06:21:11.112Z,desktop,Super Admin,Platform,Pipelines,Stale Tasks,/operations?workspace=platform&view=pipelines&section=stale_tasks,https://bneineviimacademy.org/operations?workspace=platform&view=pipelines&section=stale_tasks,,,Pipelines / Stale Tasks loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Pipeline Card,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__PIPELINES__DECISIONS__LOAD__DESKTOP__031,screenshots/desktop/SUPERADMIN__PLATFORM__PIPELINES__DECISIONS__LOAD__DESKTOP__031.png,2026-06-11T06:21:11.112Z,desktop,Super Admin,Platform,Pipelines,Decisions,/operations?workspace=platform&view=pipelines&section=decisions,https://bneineviimacademy.org/operations?workspace=platform&view=pipelines&section=decisions,,,Pipelines / Decisions loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Pipeline Card,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__TASKS__OVERVIEW__LOAD__DESKTOP__032,screenshots/desktop/SUPERADMIN__PLATFORM__TASKS__OVERVIEW__LOAD__DESKTOP__032.png,2026-06-11T06:21:11.112Z,desktop,Super Admin,Platform,Tasks,Overview,/operations?workspace=platform&view=tasks&section=overview,https://bneineviimacademy.org/operations?workspace=platform&view=tasks&section=overview,,,Tasks / Overview loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__TASKS__DECISIONS__LOAD__DESKTOP__033,screenshots/desktop/SUPERADMIN__PLATFORM__TASKS__DECISIONS__LOAD__DESKTOP__033.png,2026-06-11T06:21:11.112Z,desktop,Super Admin,Platform,Tasks,Decisions,/operations?workspace=platform&view=tasks&section=decisions,https://bneineviimacademy.org/operations?workspace=platform&view=tasks&section=decisions,,,Tasks / Decisions loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__TASKS__MINE__LOAD__DESKTOP__034,screenshots/desktop/SUPERADMIN__PLATFORM__TASKS__MINE__LOAD__DESKTOP__034.png,2026-06-11T06:21:11.112Z,desktop,Super Admin,Platform,Tasks,Mine,/operations?workspace=platform&view=tasks&section=mine,https://bneineviimacademy.org/operations?workspace=platform&view=tasks&section=mine,,,Tasks / Mine loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__TASKS__SCHEDULE__LOAD__DESKTOP__035,screenshots/desktop/SUPERADMIN__PLATFORM__TASKS__SCHEDULE__LOAD__DESKTOP__035.png,2026-06-11T06:21:11.112Z,desktop,Super Admin,Platform,Tasks,Schedule,/operations?workspace=platform&view=tasks&section=schedule,https://bneineviimacademy.org/operations?workspace=platform&view=tasks&section=schedule,,,Tasks / Schedule loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__TASKS__RESEARCH__LOAD__DESKTOP__036,screenshots/desktop/SUPERADMIN__PLATFORM__TASKS__RESEARCH__LOAD__DESKTOP__036.png,2026-06-11T06:21:11.112Z,desktop,Super Admin,Platform,Tasks,Research,/operations?workspace=platform&view=tasks&section=research,https://bneineviimacademy.org/operations?workspace=platform&view=tasks&section=research,,,Tasks / Research loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__TASKS__CHANGELOG__LOAD__DESKTOP__037,screenshots/desktop/SUPERADMIN__PLATFORM__TASKS__CHANGELOG__LOAD__DESKTOP__037.png,2026-06-11T06:21:11.112Z,desktop,Super Admin,Platform,Tasks,Changelog,/operations?workspace=platform&view=tasks&section=changelog,https://bneineviimacademy.org/operations?workspace=platform&view=tasks&section=changelog,,,Tasks / Changelog loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__TASKS__DONE__LOAD__DESKTOP__038,screenshots/desktop/SUPERADMIN__PLATFORM__TASKS__DONE__LOAD__DESKTOP__038.png,2026-06-11T06:21:11.112Z,desktop,Super Admin,Platform,Tasks,Done,/operations?workspace=platform&view=tasks&section=done,https://bneineviimacademy.org/operations?workspace=platform&view=tasks&section=done,,,Tasks / Done loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__STUDENTS__OVERVIEW__LOAD__DESKTOP__039,screenshots/desktop/SUPERADMIN__PLATFORM__STUDENTS__OVERVIEW__LOAD__DESKTOP__039.png,2026-06-11T06:21:11.112Z,desktop,Super Admin,Platform,Students,Overview,/operations?workspace=platform&view=students&section=overview,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=overview,,,Students / Overview loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__STUDENTS__LIST__LOAD__DESKTOP__040,screenshots/desktop/SUPERADMIN__PLATFORM__STUDENTS__LIST__LOAD__DESKTOP__040.png,2026-06-11T06:21:11.112Z,desktop,Super Admin,Platform,Students,List,/operations?workspace=platform&view=students&section=list,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=list,,,Students / List loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__STUDENTS__GROUP_GOAL__LOAD__DESKTOP__041,screenshots/desktop/SUPERADMIN__PLATFORM__STUDENTS__GROUP_GOAL__LOAD__DESKTOP__041.png,2026-06-11T06:21:11.112Z,desktop,Super Admin,Platform,Students,Group Goal,/operations?workspace=platform&view=students&section=group_goal,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=group_goal,,,Students / Group Goal loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__STUDENTS__GOAL_BOARD__LOAD__DESKTOP__042,screenshots/desktop/SUPERADMIN__PLATFORM__STUDENTS__GOAL_BOARD__LOAD__DESKTOP__042.png,2026-06-11T06:21:11.113Z,desktop,Super Admin,Platform,Students,Goal Board,/operations?workspace=platform&view=students&section=goal_board,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=goal_board,,,Students / Goal Board loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__STUDENTS__ASSIGNMENTS__LOAD__DESKTOP__043,screenshots/desktop/SUPERADMIN__PLATFORM__STUDENTS__ASSIGNMENTS__LOAD__DESKTOP__043.png,2026-06-11T06:21:11.113Z,desktop,Super Admin,Platform,Students,Assignments,/operations?workspace=platform&view=students&section=assignments,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=assignments,,,Students / Assignments loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__STUDENTS__QUESTIONS__LOAD__DESKTOP__044,screenshots/desktop/SUPERADMIN__PLATFORM__STUDENTS__QUESTIONS__LOAD__DESKTOP__044.png,2026-06-11T06:21:11.113Z,desktop,Super Admin,Platform,Students,Questions,/operations?workspace=platform&view=students&section=questions,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=questions,,,Students / Questions loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__STUDENTS__DOCUMENTS__LOAD__DESKTOP__045,screenshots/desktop/SUPERADMIN__PLATFORM__STUDENTS__DOCUMENTS__LOAD__DESKTOP__045.png,2026-06-11T06:21:11.113Z,desktop,Super Admin,Platform,Students,Documents,/operations?workspace=platform&view=students&section=documents,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=documents,,,Students / Documents loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__STUDENTS__PORTAL_LINKS__LOAD__DESKTOP__046,screenshots/desktop/SUPERADMIN__PLATFORM__STUDENTS__PORTAL_LINKS__LOAD__DESKTOP__046.png,2026-06-11T06:21:11.113Z,desktop,Super Admin,Platform,Students,Portal Links,/operations?workspace=platform&view=students&section=portal_links,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=portal_links,,,Students / Portal Links loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__STUDENTS__TABLET_ACCESS__LOAD__DESKTOP__047,screenshots/desktop/SUPERADMIN__PLATFORM__STUDENTS__TABLET_ACCESS__LOAD__DESKTOP__047.png,2026-06-11T06:21:11.113Z,desktop,Super Admin,Platform,Students,Tablet Access,/operations?workspace=platform&view=students&section=tablet_access,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=tablet_access,,,Students / Tablet Access loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__STUDENTS__PROFILE__LOAD__DESKTOP__048,screenshots/desktop/SUPERADMIN__PLATFORM__STUDENTS__PROFILE__LOAD__DESKTOP__048.png,2026-06-11T06:21:11.113Z,desktop,Super Admin,Platform,Students,Profile,/operations?workspace=platform&view=students&section=profile,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=profile,,,Students / Profile loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__STUDENTS__PARENT_FAMILY__LOAD__DESKTOP__049,screenshots/desktop/SUPERADMIN__PLATFORM__STUDENTS__PARENT_FAMILY__LOAD__DESKTOP__049.png,2026-06-11T06:21:11.113Z,desktop,Super Admin,Platform,Students,Parent Family,/operations?workspace=platform&view=students&section=parent_family,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=parent_family,,,Students / Parent Family loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__STUDENTS__ANALYSIS__LOAD__DESKTOP__050,screenshots/desktop/SUPERADMIN__PLATFORM__STUDENTS__ANALYSIS__LOAD__DESKTOP__050.png,2026-06-11T06:21:11.113Z,desktop,Super Admin,Platform,Students,Analysis,/operations?workspace=platform&view=students&section=analysis,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=analysis,,,Students / Analysis loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__STUDENTS__MEETINGS__LOAD__DESKTOP__051,screenshots/desktop/SUPERADMIN__PLATFORM__STUDENTS__MEETINGS__LOAD__DESKTOP__051.png,2026-06-11T06:21:11.113Z,desktop,Super Admin,Platform,Students,Meetings,/operations?workspace=platform&view=students&section=meetings,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=meetings,,,Students / Meetings loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
SUPERADMIN__PLATFORM__STUDENTS__BOT_SETTINGS__LOAD__DESKTOP__052,screenshots/desktop/SUPERADMIN__PLATFORM__STUDENTS__BOT_SETTINGS__LOAD__DESKTOP__052.png,2026-06-11T06:21:11.113Z,desktop,Super Admin,Platform,Students,Bot Settings,/operations?workspace=platform&view=students&section=bot_settings,https://bneineviimacademy.org/operations?workspace=platform&view=students&section=bot_settings,,,Students / Bot Settings loads in the correct workspace.,No major automated issue detected; manual designer review still required.,page,true,New Task,true,true,,No major automated issue detected; manual designer review still required.
