E	 M	.gitignore	Not confidently attributable to the focused release; needs Shloimie review.
D	 M	ops/agent-task-ledger.jsonl	Broad memory/task ledger or process file deliberately excluded from the focused release patch.
E	 M	package.json	Dependency metadata changed outside the curated patch; manual review required.
F	 D	postcss.config.mjs	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
E	 M	public/data/learning-moments.json	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	public/faq.html	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	public/index.html	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	public/js/bna-content.js	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	public/js/signup-documents.js	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	public/manifest.json	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	public/signup-thank-you.html	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	railway-migration-2026-06-05-one-time-projects.sql	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	railway.json	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	screenshots/desktop-1440.png	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	screenshots/mobile-360.png	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	screenshots/mobile-390.png	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	screenshots/mobile-430.png	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	screenshots/tablet-768.png	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	scripts/agent-fleet-supervisor.mjs	Not confidently attributable to the focused release; needs Shloimie review.
F	 D	scripts/apply-schema.mjs	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
E	 M	scripts/ghl-ops.mjs	Not confidently attributable to the focused release; needs Shloimie review.
F	 D	scripts/launch.mjs	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
E	 M	scripts/railway-redeploy.ps1	Not confidently attributable to the focused release; needs Shloimie review.
F	 D	scripts/send-onboarding.mjs	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	scripts/set-webhooks.mjs	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
E	 M	scripts/smoke-openai-sidekick.mjs	Not confidently attributable to the focused release; needs Shloimie review.
F	 D	src/app/api/ad-hoc-tasks/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/auth/kid-login/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/auth/kid-logout/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/auth/parent-callback/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/auth/parent-request/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/bna/migrate-db/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/bna/migrate/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/bna/payments/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/bna/signups/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/bna/tasks/[id]/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/bna/tasks/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/bna/telegram/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/checkins/approve/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/checkins/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/consequences/[id]/approve/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/consequences/[id]/override/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/consequences/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/cron/daily-summary/resend/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/cron/daily-summary/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/cron/reminders/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/goals/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/meetings/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/onboarding/complete/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/parent-notes/[id]/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/parent-notes/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/proof-upload/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/qr/[kid]/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/telegram/webhook/[parent]/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/users/freeze/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/api/users/pin-hash/route.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/globals.css	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/kid/[name]/KidGoalList.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/kid/[name]/page.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/kid/[name]/pin/PinForm.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/kid/[name]/pin/page.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/layout.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/operations/components/SummaryCards.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/operations/components/TaskApp.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/operations/components/TaskCard.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/operations/components/TaskFilters.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/operations/components/TaskFormModal.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/operations/page.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/page.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/parent/[kid]/NewMeetingModal.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/parent/[kid]/page.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/parent/login/LoginForm.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/parent/login/page.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/parent/onboarding/OnboardingWizard.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/parent/onboarding/page.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/app/parent/page.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/install/InstallPrompt.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/kid/KidNotesDisplay.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/locale/LocaleToggle.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/parent/AdHocTaskButton.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/parent/ApproveAllButton.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/parent/ConsequenceList.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/parent/FreezeToggle.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/parent/Header.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/parent/NotesWall.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/parent/PendingCheckinRow.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/ui/Button.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/ui/Card.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/ui/Confetti.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/ui/Sheet.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/ui/Skeleton.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/components/ui/StreakBadge.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/ai/chat.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/ai/client.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/ai/family-context.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/ai/system-prompt.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/auth/kid-session.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/auth/parent-session.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/bna/cli-bridge.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
E	 M	src/lib/bna/goal-board.js	Not confidently attributable to the focused release; needs Shloimie review.
F	 D	src/lib/bna/task-pipeline.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/bna/telegram-bot.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/email/client.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/email/render.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/email/templates/DailySummary.tsx	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/fonts.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/i18n.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/onboarding.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/supabase/admin.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/supabase/browser.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/supabase/server.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/supabase/types.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/tasks/store.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/tasks/types.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/telegram/auth.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/telegram/client.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/telegram/handlers.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/telegram/messages.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/lib/telegram/notify.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
F	 D	src/middleware.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
E	 M	src/remotion/README.md	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	src/remotion/Root.tsx	Not confidently attributable to the focused release; needs Shloimie review.
F	 D	tailwind.config.ts	Tracked deletion/rename outside the curated release patch; unsafe for deployment without manual review.
E	 M	tasks-pending/2026-06-05-student-goal-board-classroom-consequences.md	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	tasks-pending/2026-06-05-telegram-ai-mode-and-one-time-rabbi-setup.md	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	tests/goal-board.test.js	Not confidently attributable to the focused release; needs Shloimie review.
E	 M	tests/telegram-content-intent.test.js	Not confidently attributable to the focused release; needs Shloimie review.
E	??	README.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	brand-kit/08-current-learning-model.md	Not confidently attributable to the focused release; needs Shloimie review.
D	??	content-memory/prompt-patches/README.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/prompt-patches/rabbi-video-content/README.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/prompt-patches/rabbi-video-content/base-video-generation-prompt.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/prompt-patches/rabbi-video-content/library.json	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/public-bibliographies/README.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/source-sheets/2026-06-09-baba-sali-sefer.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/source-sheets/2026-06-09-captured-student-question-sources.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/source-sheets/2026-06-09-onkelos-the-ger.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/source-sheets/2026-06-10-student-visa-bank-account-options.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/source-sheets/2026-06-10-transcript-wide-class-source-sheets.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/source-sheets/2026-06-11-fasting-on-shabbos-yom-tov.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/source-sheets/2026-06-11-youtube-looming-crisis-educational-system.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/022-bnei-neviim-overview-and-insights.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/023-handling-ui-updates-after-killing-a-process.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/024-complete-google-business-profile-task.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/025-joshua-s-conquest-and-moses-and-aaron-s-death.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/026-serving-hashem-joy-and-worldly-pleasure-debate.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/027-extracting-questions-from-all-transcripts.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/028-setting-up-automated-facebook-post-for-autonomy-questions.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/029-autonomy-questions-facebook-video-post.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/030-dangerous-black-balloons-threatening-israel.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/031-adam-naming-animals-and-eve-explained-by-rashi.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/032-youtube-4-september-2025.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/033-youtube-2-september-2025.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/034-youtube-why-your-kids-are-addicted-to-junk-food.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/035-youtube-the-mystery-of-going-off-the-derech.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/036-youtube-helping-our-kids-own-their-spirituality.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/037-youtube-a-i-ko-college.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/038-youtube-how-to-turn-spaced-out-moments-into-holy-lessons.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/039-youtube-does-your-son-connect-to-his-rebbe.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/040-youtube-seeing-the-big-picture-how-mixed-age-learning-helps-kids-visualize-the-e.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/041-youtube-i-m-a-baal-teshuva-but-my-kid-is-in-the-regular-charedi-system.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/042-youtube-why-kids-bicker-and-fight-what-schools-aren-t-teaching.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/043-youtube-partnering-for-a-new-era-in-jewish-education-a-vision-for-our-future.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/044-youtube-why-davening-is-a-privilege-not-a-graded-class-understanding-its-true-pu.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/045-youtube-the-hidden-struggles-in-israel-s-education-system-why-we-need-micro-scho.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/046-youtube-the-looming-crisis-in-our-educational-system.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/047-youtube-revolutionizing-jewish-education-the-urgent-need-for-ai-driven-micro-sch.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/048-youtube-inspiring-lifelong-love-for-torah-without-bribes-a-better-way-to-engage-.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/049-youtube-harnessing-ai-for-real-world-learning-the-future-of-the-secular-curricul.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/050-youtube-transforming-jewish-education-help-us-with-your-outsourced-english-conte.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/051-youtube-the-importance-of-transparency-in-your-son-s-torah-education.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/052-youtube-the-importance-of-rules-and-responsibility-in-a-dynamic-learning-environ.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/053-youtube-responsability-is-not-a-skill-you-can-teach.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/transcripts/054-youtube-the-school-just-told-me-my-kid-needs-drugs.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	content-memory/youtube-playlist-transcripts-2024.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/README.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/next.config.mjs	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/postcss.config.mjs	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/ad-hoc-tasks/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/auth/kid-login/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/auth/kid-logout/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/auth/parent-callback/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/auth/parent-request/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/bna/migrate-db/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/bna/migrate/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/bna/payments/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/bna/signups/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/bna/tasks/[id]/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/bna/tasks/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/bna/telegram/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/checkins/approve/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/checkins/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/consequences/[id]/approve/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/consequences/[id]/override/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/consequences/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/cron/daily-summary/resend/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/cron/daily-summary/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/cron/reminders/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/goals/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/meetings/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/onboarding/complete/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/parent-notes/[id]/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/parent-notes/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/proof-upload/route.ts	Unrelated existing work or historical/generated audit material outside this release.
D	??	docs/archive/dormant-next-supabase-app/src/app/api/qr/[kid]/route.ts	Unrelated existing work or historical/generated audit material outside this release.
